,index,tavg,tmin,tmax,prcp,wspd,pres,tsun,mrc,time
216,2018-01-01,-15.8,-17.0,-6.4,111.6,,,,Les Moulins,
217,2018-02-01,-14.4,-12.6,-0.4,77.4,,,,Les Moulins,
218,2018-03-01,-3.3,-5.3,2.6,55.5,,,,Les Moulins,
219,2018-04-01,-2.1,-0.9,,,,,,Les Moulins,
220,2018-05-01,9.6,7.8,,,,,,Les Moulins,
221,2018-06-01,15.3,12.2,24.3,102.0,,,,Les Moulins,
222,2018-07-01,20.0,16.7,29.3,103.2,,,,Les Moulins,
223,2018-08-01,19.8,16.3,27.3,70.7,,,,Les Moulins,
224,2018-09-01,11.8,10.9,21.9,95.8,,,,Les Moulins,
225,2018-10-01,2.7,,,,,,,Les Moulins,
226,2018-11-01,-5.9,-5.5,1.5,112.5,,,,Les Moulins,
227,2018-12-01,-13.0,-11.2,-2.5,94.7,,,,Les Moulins,
228,2019-01-01,-19.1,-17.0,-7.1,96.4,,,,Les Moulins,
229,2019-02-01,-17.7,-16.0,-4.4,79.6,,,,Les Moulins,
230,2019-03-01,-9.4,-9.2,1.0,67.9,,,,Les Moulins,
231,2019-04-01,-0.9,0.0,9.1,138.2,,,,Les Moulins,
232,2019-05-01,7.4,6.1,16.7,103.5,,,,Les Moulins,
233,2019-06-01,14.8,11.0,23.8,63.1,6.3,1011.6,,Les Moulins,
234,2019-07-01,21.0,15.6,28.8,83.7,7.2,1013.1,,Les Moulins,
235,2019-08-01,16.3,16.8,25.7,64.5,5.2,1013.5,,Les Moulins,
236,2019-09-01,11.3,9.0,20.7,109.4,,,,Les Moulins,
237,2019-10-01,8.3,3.6,13.9,,,,,Les Moulins,
238,2019-11-01,-5.8,-6.3,2.1,68.3,,,,Les Moulins,
239,2019-12-01,-11.7,-8.9,-1.2,77.6,,,,Les Moulins,
240,2020-01-01,-7.5,-11.8,-3.0,,8.1,1019.3,,Les Moulins,
241,2020-02-01,-11.6,-13.9,-2.2,74.7,10.3,1015.7,,Les Moulins,
242,2020-03-01,-8.9,-5.4,3.6,135.7,,,,Les Moulins,
243,2020-04-01,0.3,-0.6,9.8,,11.6,1011.6,,Les Moulins,
244,2020-05-01,8.2,8.7,18.8,27.8,,1015.0,,Les Moulins,
245,2020-06-01,16.5,,,,,,,Les Moulins,
246,2020-07-01,19.7,19.8,29.1,103.8,6.0,1011.7,,Les Moulins,
247,2020-08-01,18.8,16.9,25.1,,5.3,1012.8,,Les Moulins,
248,2020-09-01,11.2,8.1,19.9,61.1,8.1,1018.1,,Les Moulins,
249,2020-10-01,2.5,2.5,12.7,119.8,8.1,1018.6,,Les Moulins,
250,2020-11-01,0.6,-1.1,8.2,73.1,9.4,1018.1,,Les Moulins,
251,2020-12-01,-3.7,-6.4,0.9,86.0,10.5,1015.4,,Les Moulins,
252,2021-01-01,-8.1,-11.9,-3.3,49.9,7.2,1017.0,,Les Moulins,
253,2021-02-01,-9.2,-14.6,-3.5,72.7,8.3,1019.7,,Les Moulins,
254,2021-03-01,-1.7,-7.0,4.8,61.3,,,,Les Moulins,
255,2021-04-01,8.1,2.4,14.0,66.5,10.1,1012.6,,Les Moulins,
256,2021-05-01,13.0,6.9,20.5,15.0,9.4,1017.4,,Les Moulins,
257,2021-06-01,20.2,14.7,27.3,94.4,10.2,1012.8,,Les Moulins,
258,2021-07-01,18.8,14.3,25.0,70.7,7.4,1014.7,,Les Moulins,
259,2021-08-01,12.7,16.8,28.3,21.0,7.1,1016.2,,Les Moulins,
260,2021-09-01,6.9,10.7,22.1,78.6,7.4,1014.7,,Les Moulins,
261,2021-10-01,3.8,6.6,16.0,109.0,7.0,1015.9,,Les Moulins,
262,2021-11-01,-5.8,-2.9,5.9,66.3,7.6,1016.8,,Les Moulins,
263,2021-12-01,-14.0,-9.3,0.0,95.9,9.5,1016.0,,Les Moulins,
264,2022-01-01,-25.6,-22.4,-9.0,39.1,7.6,1019.8,,Les Moulins,
265,2022-02-01,-25.5,-15.6,-3.0,81.9,11.2,1021.3,,Les Moulins,
