MRC,SECTOR,month_rmse,month_mape
Le Haut-Saint-François,RÉSIDENTIEL,1675191.5189869672,0.10794245151552874
Le Haut-Saint-François,INSTITUTIONNEL,105847.64379910345,0.052785920726304336
Le Haut-Saint-François,INDUSTRIEL,502847.08847013593,0.05090254551292733
Bécancour,RÉSIDENTIEL,1598329.4732975438,0.09917547118980374
Bécancour,INSTITUTIONNEL,1227892.35422961,0.2952416856366827
Bécancour,INDUSTRIEL,75241444.40900561,0.10416995267754986
Bécancour,COMMERCIAL,472844.95882159984,0.06618016780762614
Bécancour,AGRICOLE,154828.16283157482,0.040153694946822034
Arthabaska,RÉSIDENTIEL,4988574.998892447,0.09284029227931812
Arthabaska,INSTITUTIONNEL,161545.90509597375,0.031543617589364754
Arthabaska,INDUSTRIEL,2154912.328318989,0.06832911499958036
Arthabaska,COMMERCIAL,1393501.7012008491,0.06579524185996076
Drummond,AGRICOLE,307748.80244904297,0.03793625629667057
Arthabaska,AGRICOLE,240718.74438462118,0.027096879143948992
Portneuf,INSTITUTIONNEL,172297.8715150075,0.03026532892590991
Portneuf,INDUSTRIEL,6134536.454214666,0.013368207534824969
Portneuf,COMMERCIAL,884229.8494837257,0.08177816291185909
Portneuf,AGRICOLE,475755.35221415217,0.11136409504277167
La Jacques-Cartier,RÉSIDENTIEL,4569407.561417117,0.10275137595046295
La Jacques-Cartier,INSTITUTIONNEL,338919.94818093564,0.03945369913202606
La Jacques-Cartier,INDUSTRIEL,23006.292888094606,0.0715025827485586
La Jacques-Cartier,COMMERCIAL,1212020.4880071464,0.16639259571492207
La Jacques-Cartier,AGRICOLE,51471.92095047856,0.09830295113661258
Portneuf,RÉSIDENTIEL,4688161.494872457,0.10525852094270038
La Côte-de-Beaupré,RÉSIDENTIEL,2638374.998154891,0.09461228363219987
Drummond,COMMERCIAL,3000119.286930288,0.08807035272079877
Drummond,INSTITUTIONNEL,198914.14849647493,0.02290621333555724
Beauce-Centre,INSTITUTIONNEL,148874.2437115774,0.11534350962392853
La Matanie,AGRICOLE,26069.205246119738,0.040747946425556715
La Matanie,COMMERCIAL,446547.3873941989,0.0747513449041364
La Matanie,INDUSTRIEL,2567893.1208799137,0.041612108987678
La Matanie,INSTITUTIONNEL,446750.1865395818,0.17668948544215604
La Matanie,RÉSIDENTIEL,1582902.5010134256,0.09850690564134634
Beauce-Centre,INDUSTRIEL,1565459.4137751146,0.1783511625727976
Beauce-Centre,COMMERCIAL,374768.3320212338,0.06598750989320785
Beauce-Centre,AGRICOLE,150454.17954878617,0.042967194781076405
Drummond,INDUSTRIEL,770037.5300119338,0.02431662826009136
Nicolet-Yamaska,RÉSIDENTIEL,1777336.376821839,0.1014103582298612
Nicolet-Yamaska,INDUSTRIEL,83576.93655454066,0.03869707143689956
Nicolet-Yamaska,COMMERCIAL,310903.99853123573,0.035634957729623495
Nicolet-Yamaska,AGRICOLE,254952.42243691112,0.042520988974340736
L'Érable,RÉSIDENTIEL,1705323.67872,0.10263755846907117
L'Érable,INSTITUTIONNEL,141093.63430710003,0.07925194417824126
L'Érable,INDUSTRIEL,508236.72781220026,0.052295317724134795
L'Érable,COMMERCIAL,714349.1299361668,0.07976490806634089
L'Érable,AGRICOLE,289549.80909026245,0.053188256372865526
Drummond,RÉSIDENTIEL,8165601.962925742,0.10301439652116877
Nicolet-Yamaska,INSTITUTIONNEL,309624.92794263037,0.11223913141951676
Beauce-Centre,RÉSIDENTIEL,1161922.6809627,0.08559026674189212
La Côte-de-Beaupré,INSTITUTIONNEL,145738.99959141205,0.0658355280576504
La Côte-de-Beaupré,COMMERCIAL,452005.0554943487,0.058294602009965946
La Matapédia,INSTITUTIONNEL,85126.00892513614,0.04623988546689495
La Matapédia,RÉSIDENTIEL,1169162.6514654455,0.09858674031569797
Rivière-du-Loup,RÉSIDENTIEL,2467245.7157871593,0.10191266012980761
Rivière-du-Loup,INSTITUTIONNEL,536342.5981552812,0.10583401276535735
Rivière-du-Loup,INDUSTRIEL,11231529.90207643,0.15341950620568598
Rivière-du-Loup,COMMERCIAL,369608.4339866953,0.02191785624806834
Rivière-du-Loup,AGRICOLE,75526.47695225924,0.03038435114590218
Rimouski-Neigette,RÉSIDENTIEL,4681878.276983796,0.11491132211027118
Rimouski-Neigette,INSTITUTIONNEL,571148.9766127986,0.07921320133365269
La Matapédia,INDUSTRIEL,1017077.4734964882,0.08414170420344624
Rimouski-Neigette,INDUSTRIEL,121934.73139539748,0.05992994242022278
Rimouski-Neigette,AGRICOLE,77057.42719977928,0.037158165646930176
Les Basques,RÉSIDENTIEL,651950.5955155652,0.10478213293776516
Les Basques,INSTITUTIONNEL,66713.85760355454,0.06281753182965943
Les Basques,INDUSTRIEL,27518.61734012189,0.11009783135874796
Les Basques,COMMERCIAL,102166.98223145955,0.03833489343850952
Les Basques,AGRICOLE,155668.67104211848,0.08027013999456369
La Mitis,RÉSIDENTIEL,1458945.1905918864,0.11338114736660483
La Mitis,INSTITUTIONNEL,176183.29172513398,0.07163380000613756
La Mitis,INDUSTRIEL,708019.9447421883,0.09103975756939738
Rimouski-Neigette,COMMERCIAL,1968138.3099304254,0.10258371421386554
La Côte-de-Beaupré,INDUSTRIEL,63412.35114553297,0.06380245819399484
La Matapédia,COMMERCIAL,633547.1489301894,0.09462250683021722
Témiscouata,AGRICOLE,583198.1192003903,0.17186268039940236
La Côte-de-Beaupré,AGRICOLE,24303.426271782275,0.11737097081073722
L'Île-d'Orléans,RÉSIDENTIEL,643465.9704510939,0.08746604566426479
L'Île-d'Orléans,INSTITUTIONNEL,15219.444082410015,0.08796556132308053
L'Île-d'Orléans,INDUSTRIEL,5121.439243139157,0.07417092117484966
L'Île-d'Orléans,COMMERCIAL,52215.314865515866,0.049689432563052714
L'Île-d'Orléans,AGRICOLE,56681.42923881357,0.05380157887931536
Charlevoix-Est,RÉSIDENTIEL,1325888.4629500378,0.10425924097203311
Charlevoix-Est,INSTITUTIONNEL,103577.54095615546,0.05365567775465214
Charlevoix-Est,INDUSTRIEL,3514469.832477014,0.04772988700440017
La Matapédia,AGRICOLE,60839.09376488226,0.045531094897011154
Charlevoix-Est,COMMERCIAL,348684.44335272914,0.05696023593183532
Charlevoix,RÉSIDENTIEL,1301070.5230828556,0.10134654271962834
Charlevoix,INSTITUTIONNEL,173309.62548840808,0.19360891437629038
Charlevoix,INDUSTRIEL,93672.93470825852,0.09694518604374784
Charlevoix,COMMERCIAL,524506.104017472,0.06400346204145832
Charlevoix,AGRICOLE,47599.72198313351,0.07288498111985064
Témiscouata,RÉSIDENTIEL,1332402.7044895869,0.09426953495841539
Témiscouata,INSTITUTIONNEL,301710.2832093314,0.10756613088013638
Témiscouata,INDUSTRIEL,477953.2694206352,0.021923123939380288
Témiscouata,COMMERCIAL,356814.9874412017,0.0686928595207635
Charlevoix-Est,AGRICOLE,25960.075886218427,0.064106234420696
Rouville,INSTITUTIONNEL,6190060.0165812615,0.24452462127697397
Beauce-Sartigan,AGRICOLE,252502.17541758617,0.05369854112718082
Beauce-Sartigan,INDUSTRIEL,2456977.9992666114,0.07607901729768936
Sept-Rivières,INDUSTRIEL,12369370.070659107,0.011833080770071724
Sept-Rivières,COMMERCIAL,2065642.1869583004,0.07543087330430905
Sept-Rivières,AGRICOLE,7334.03391974005,0.160031479336908
Kamouraska,AGRICOLE,89652.12844712046,0.01940983943215283
Kamouraska,COMMERCIAL,444946.1414520972,0.06937090746946606
Kamouraska,INDUSTRIEL,110447.71079886267,0.034636300203837296
Kamouraska,INSTITUTIONNEL,236725.02284439086,0.1071665989169463
Kamouraska,RÉSIDENTIEL,1143285.4947218571,0.07629102615634832
Minganie,RÉSIDENTIEL,447373.81350566103,0.08740330724318963
Sept-Rivières,INSTITUTIONNEL,510982.50170514325,0.05563920863221931
Minganie,INSTITUTIONNEL,65486.328586370175,0.05588565450110328
Minganie,COMMERCIAL,113621.55323049682,0.04501563517572921
Minganie,AGRICOLE,696.5098617192332,0.11081879246122406
Manicouagan,RÉSIDENTIEL,1296429.422550881,0.08467021051116709
Manicouagan,INSTITUTIONNEL,1030079.9748832128,0.04337315179172028
Manicouagan,INDUSTRIEL,16976945.018753294,0.05503515716318825
Manicouagan,COMMERCIAL,513517.77810794575,0.09120559733190904
Manicouagan,AGRICOLE,33785.87020880115,0.1848809201496926
Le Golfe-du-Saint-Laurent,RÉSIDENTIEL,397235.5879673595,0.09015621618098267
Le Golfe-du-Saint-Laurent,INSTITUTIONNEL,147143.9669926841,0.1825008042410393
Minganie,INDUSTRIEL,433869.16245266167,0.283515906563986
Le Golfe-du-Saint-Laurent,INDUSTRIEL,1270.084286148877,0.08743388710255041
