mrc,sector,date,total_kwh,tavg,sector_mrc
Le Val-Saint-François,AGRICOLE,2016-01-01,2775340.0,-6.9,AGRICOLELe Val-Saint-François
La Vallée-du-Richelieu,INDUSTRIEL,2016-01-01,4686470.0,-6.9,INDUSTRIELLa Vallée-du-Richelieu
La Vallée-du-Richelieu,AGRICOLE,2016-01-01,1771107.0,-6.9,AGRICOLELa Vallée-du-Richelieu
Les Chenaux,AGRICOLE,2016-01-01,1861391.0,-6.9,AGRICOLELes Chenaux
Thérèse-De Blainville,RÉSIDENTIEL,2016-01-01,183680820.0,-6.9,RÉSIDENTIELThérèse-De Blainville
Thérèse-De Blainville,INSTITUTIONNEL,2016-01-01,13440627.0,-6.9,INSTITUTIONNELThérèse-De Blainville
Thérèse-De Blainville,INDUSTRIEL,2016-01-01,12316537.0,-6.9,INDUSTRIELThérèse-De Blainville
Thérèse-De Blainville,COMMERCIAL,2016-01-01,43587442.0,-6.9,COMMERCIALThérèse-De Blainville
Thérèse-De Blainville,AGRICOLE,2016-01-01,586997.0,-6.9,AGRICOLEThérèse-De Blainville
Les Pays-d'en-Haut,RÉSIDENTIEL,2016-01-01,103312303.0,-6.9,RÉSIDENTIELLes Pays-d'en-Haut
Les Pays-d'en-Haut,INSTITUTIONNEL,2016-01-01,2131085.0,-6.9,INSTITUTIONNELLes Pays-d'en-Haut
La Vallée-de-l'Or,AGRICOLE,2016-01-01,295926.0,-6.9,AGRICOLELa Vallée-de-l'Or
Les Chenaux,COMMERCIAL,2016-01-01,3517716.0,-6.9,COMMERCIALLes Chenaux
La Vallée-de-l'Or,COMMERCIAL,2016-01-01,20253116.0,-6.9,COMMERCIALLa Vallée-de-l'Or
La Vallée-de-l'Or,INSTITUTIONNEL,2016-01-01,4245759.0,-6.9,INSTITUTIONNELLa Vallée-de-l'Or
La Vallée-de-l'Or,RÉSIDENTIEL,2016-01-01,55269273.0,-6.9,RÉSIDENTIELLa Vallée-de-l'Or
Les Pays-d'en-Haut,INDUSTRIEL,2016-01-01,213936.0,-6.9,INDUSTRIELLes Pays-d'en-Haut
Les Pays-d'en-Haut,COMMERCIAL,2016-01-01,15532890.0,-6.9,COMMERCIALLes Pays-d'en-Haut
Les Pays-d'en-Haut,AGRICOLE,2016-01-01,119535.0,-6.9,AGRICOLELes Pays-d'en-Haut
Les Laurentides,RÉSIDENTIEL,2016-01-01,106196612.0,-6.9,RÉSIDENTIELLes Laurentides
Les Laurentides,INSTITUTIONNEL,2016-01-01,4665093.0,-6.9,INSTITUTIONNELLes Laurentides
Les Laurentides,INDUSTRIEL,2016-01-01,1429035.0,-6.9,INDUSTRIELLes Laurentides
Les Laurentides,COMMERCIAL,2016-01-01,25416011.0,-6.9,COMMERCIALLes Laurentides
La Vallée-de-l'Or,INDUSTRIEL,2016-01-01,85686133.62169077,-6.9,INDUSTRIELLa Vallée-de-l'Or
La Vallée-du-Richelieu,COMMERCIAL,2016-01-01,25452398.0,-6.9,COMMERCIALLa Vallée-du-Richelieu
Les Chenaux,INDUSTRIEL,2016-01-01,560855.0,-6.9,INDUSTRIELLes Chenaux
Les Chenaux,RÉSIDENTIEL,2016-01-01,22983636.0,-6.9,RÉSIDENTIELLes Chenaux
Beauharnois-Salaberry,RÉSIDENTIEL,2016-01-01,80745220.0,-6.9,RÉSIDENTIELBeauharnois-Salaberry
Beauharnois-Salaberry,INSTITUTIONNEL,2016-01-01,8320028.0,-6.9,INSTITUTIONNELBeauharnois-Salaberry
Beauharnois-Salaberry,INDUSTRIEL,2016-01-01,204637416.3781106,-6.9,INDUSTRIELBeauharnois-Salaberry
Beauharnois-Salaberry,COMMERCIAL,2016-01-01,21234197.3,-6.9,COMMERCIALBeauharnois-Salaberry
Beauharnois-Salaberry,AGRICOLE,2016-01-01,2363850.0,-6.9,AGRICOLEBeauharnois-Salaberry
Acton,RÉSIDENTIEL,2016-01-01,16207052.0,-6.9,RÉSIDENTIELActon
